Date,Province,District,Ga.Pa/Na.Pa.,Ward,Protected Area,Confidence,Lat,Lon,YEAR,DOY,T2M_MIN,T2M_MAX,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WD2M,GWETTOP,GWETROOT
4/7/2023,Madhes,bara,Nijgadh,4,Parsa National Park,39,27.16945,85.08322,2023,97,18.84,36.89,27.29,5.49,26.62,0.05,3.49,299.5,0.3,0.38
4/7/2023,Madhes,bara,Nijgadh,4,Parsa National Park,39,27.16945,85.08322,2023,97,18.84,36.89,27.29,5.49,26.62,0.05,3.49,299.5,0.3,0.38
4/7/2023,Madhes,bara,Jitpur Simara,2,Parsa National Nikunja Intermediate Region,77,27.21783,84.97414,2023,97,18.84,36.89,27.29,5.49,26.62,0.05,3.49,299.5,0.3,0.38
4/7/2023,Madhes,bara,Jitpur Simara,2,Parsa National Nikunja Intermediate Region,77,27.21783,84.97414,2023,97,18.84,36.89,27.29,5.49,26.62,0.05,3.49,299.5,0.3,0.38
4/10/2023,Madhes,bara,Nijgadh,4,Parsa National Park,22,27.17165,85.10474,2023,100,20.52,37.57,28.3,4.76,22.19,0.0,4.2,299.19,0.27,0.37
4/10/2023,Madhes,bara,Jitpur Simara,1,Parsa National Park,58,27.18952,85.02424,2023,100,20.52,37.57,28.3,4.76,22.19,0.0,4.2,299.19,0.27,0.37
4/10/2023,Madhes,bara,Nijgadh,11,Parsa National Park,48,27.2388,85.06554,2023,100,20.52,37.57,28.3,4.76,22.19,0.0,4.2,299.19,0.27,0.37
3/16/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,52,27.3315,84.79727,2023,75,18.14,33.46,25.68,6.35,32.06,0.0,2.63,129.75,0.25,0.36
3/16/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,57,27.25333,84.82769,2023,75,18.14,33.46,25.68,6.35,32.06,0.0,2.63,129.75,0.25,0.36
3/29/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,51,27.27389,84.81538,2023,88,18.03,34.73,26.01,6.41,32.94,0.03,2.8,252.0,0.34,0.38
4/9/2023,bagmati,Makawanpur,Parsa Wildlife Reserve,99,Parsa National Park,52,27.45008,84.73565,2023,99,19.19,32.73,24.94,5.68,28.88,0.0,2.91,188.06,0.35,0.4
3/15/2023,Madhes,bara,Jitpur Simara,1,Parsa National Park,73,27.2068,85.06562,2023,74,19.64,33.5,25.78,6.84,34.31,0.01,2.88,202.5,0.25,0.37
3/15/2023,Madhes,bara,Nijgadh,4,Parsa National Park,51,27.21197,85.09818,2023,74,19.64,33.5,25.78,6.84,34.31,0.01,2.88,202.5,0.25,0.37
3/15/2023,Madhes,bara,Jitpur Simara,3,Parsa National Nikunja Intermediate Region,56,27.17012,84.9599,2023,74,19.64,33.5,25.78,6.84,34.31,0.01,2.88,202.5,0.25,0.37
2/13/2023,Madhes,bara,Jitpur Simara,21,Parsa National Park,48,27.24352,85.02895,2023,44,8.6,25.67,16.26,3.97,36.62,0.0,3.31,292.31,0.33,0.4
2/13/2023,Madhes,bara,Jitpur Simara,21,Parsa National Park,34,27.2524,85.0273,2023,44,8.6,25.67,16.26,3.97,36.62,0.0,3.31,292.31,0.33,0.4
3/6/2023,Madhes,bara,Nijgadh,11,Parsa National Park,32,27.24032,85.08099,2023,65,16.26,32.95,23.69,6.04,35.69,0.0,3.64,298.44,0.27,0.38
